Operation,Part Number,Description,Reference,,,,Part Number,Reference,,Part Number,Ref.,Skip
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C10,,,,106-0299-02,C10,,106-0299-02,C10,No
20,106-0245-02,CAP .01UF CM 16V X7R 10% 0402           ,C101,,,,106-0245-02,C101,,106-0245-02,C101,No
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C102,,,,106-0239-02,C102,,106-0239-02,C102,No
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C103,,,,106-0299-02,C103,,106-0299-02,C103,No
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C104,,,,106-0264-02,C104,,106-0264-02,C104,Yes
20,106-0197-02,CAP 1000PF CM 25V 10% X7R 0402,C105,,,,106-0197-02,C105,,106-0197-02,C105,No
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C106,,,,106-0299-02,C106,,106-0299-02,C106,No
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C11,,,,106-0239-02,C11,,106-0239-02,C11,No
20,106-20138-02,CAP CM 10UF 50V 10% X7R 1210,C111,,,,106-20138-02,C111,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C115,,,,106-0264-02,C115,,,,
20,106-0299-02,CAP .1UF 16V 10% X7R 0402               ,C116,,,,106-0299-02,C116,,,,
20,106-0622-02,CAP 4.7UF CM 10% 10V X5R 0603           ,C117,,,,106-0622-02,C117,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C12,,,,106-0264-02,C12,,,,
20,106-0245-02,CAP .01UF CM 16V X7R 10% 0402           ,C13,,,,106-0245-02,C13,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C14,,,,106-0264-02,C14,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C169,,,,106-0275-02,C169,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C19,,,,106-0275-02,C19,,,,
20,106-0275-02,CAP 22PF CM 50V 5% NPO 0402             ,C20,,,,106-0275-02,C20,,,,
20,106-0239-02,CAP CM 100PF 5% 50V NPO 0402,C21,,,,106-0239-02,C21,,,,
20,106-0264-02,CAP 1UF CM 6.3V 10% X5R 0402,C22,,,,106-0264-02,C22,,,,
