Operation,Part Number,Description,Reference
20.0,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R15 R21 R23 R25 
20.0,016-32063-06,DIODE SCHOTTKY 100V 3A DO214AC,D4 
20.0,FLG-RTNG,THIS UNIT HAS AN APPROVED ROUTING CHANGE,
20.0,114-32152-B6,RES 0.0 OHM 1/10W JUMP 0603 SMD,R6 
20.0,114-32151-B6,RES 10K OHM 1/10W 5% 0603 SMD,R1 R2 R3 R4 R5 R7 R8 R16 R17 
20.0,114-32144-B4,RES 20.5K OHM 1/10W 1% 0603 SMD,R18 
20.0,114-32143-B4,RES 196K OHM 1/10W 1% 0603 SMD,R13 R29 
20.0,114-32142-B4,RES 46.4K OHM 1/10W 1% 0603,R9 
20.0,114-32133-A6,RES 39K OHM 1/16W 5% 0402 SMD,R28 
20.0,114-32132-A6,RES 56K OHM 1/16W 5% 0402,R20 
20.0,114-32130-A6,RES SMD 820 OHM 5% 1/16W 0402,R14 
20.0,114-32126-A4,RES 1.00M OHM 1/16W 1% 0402 SMD,R26 
20.0,114-32116-24,RES 1.00K OHM 1/8W 1% SMD 0603,R10 R11 
20.0,114-32115-16,RES 910K 1/5W 5% 50V 0603,R22 
20.0,114-2003-C4X,RES 200K 1/16W 1% 50V 0402              ,R19 
20.0,106-32112-00,CAP CER 4.7UF 100V 20% X7S 1210,C39 C41 
20.0,106-32111-00,CAP CER 100NF 100V 10% X7S 0603,C37 C40 
20.0,106-32110-00,CAP CER 0.022UF 25V 10% X7R 0402,C35 C43 
20.0,106-32109-00,CAP CER 0.47UF 16V Y5V 0402,C29 
20.0,106-32108-00,CAP CER 15PF 50V 5% NP0 0603,C22 
20.0,106-32107-00,CAP CER 2200PF 50V 10% X7R 0603,C21 
20.0,106-32105-00,CAP CER 10000PF 16V 10% X7R 0402,C8 C9 C12 
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C1 C2 C3 C4 C5 C6 C7 C13 C15 C16 C17 C18 C19 C25 C26 C27 C30 C31 C32 C38 C44 C45 
20.0,106-32103-00,CAP CER 3300PF 50V X7R 0402,C42 
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C14 C20 C23 C24 C33 C34 C36 C46 
20.0,046-32088-00,CRYSTAL 8MHZ 12PF SMD,Y2 
20.0,046-32087-00,CRYSTAL 32.768KHZ 12.5PF SMD,Y1 
20.0,038-32083-00,SWITCH TACTILE SPST-NO 0.05A 12V,S1 S2 S3 S4 
20.0,037-32081-00,FFC & FPC Connectors FFC/FPC CONN,LCD1 
20.0,029-32075-00,Inductor 4.7uH,L5 
20.0,029-32074-00,Inductor 120uH,L6 
20.0,027-32072-00,FERRITE BEAD 120 OHM 0402 1LN,L1 L2 L3 L4 
20.0,017-32068-A0,PCB SYRMA 980018370-004,PCB 
20.0,016-32062-06,DIODE SCHOTTKY 30V 200MA SOD523,D1 
20.0,016-32060-05,"LED MOUNT .120"" < 4.3 mm width",SPACER2 SPACER5 
20.0,015-32048-02,MOSFET N-CH 60V 0.115A SOT-23,Q1 
20.0,014-32045-26,IC OP AMP MCP601T-I/OT SOT23,U4 
20.0,014-32044-08,IC VOLTAGE REG TPS71530DCKR SC70,U3 
20.0,014-32043-08,IC SWITCH REG LM5010ASD/NOPB WSON10,U5 
20.0,014-32040-00,IC REG BST SYNC ADJ 0.12A 10-LLP,U2 
20.0,014-32039-00,IC MCU 32BIT 256KB FLASH 100LQFP,U1 
20.0,014-0082-16,IC 2.5V REF SOT-23                      ,D3 
