Operation,Part Number,Description,Reference
20.0,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R15
20.0,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R21
20.0,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R23
20.0,114-1002-C4,RES 10.0K 1/16W 1% 50V 0402             ,R25
20.0,016-32063-06,DIODE SCHOTTKY 100V 3A DO214AC,D4
20.0,FLG-RTNG,THIS UNIT HAS AN APPROVED ROUTING CHANGE,
20.0,114-32152-B6,RES 0.0 OHM 1/10W JUMP 0603 SMD,R6
20.0,114-32151-B6,RES 10K OHM 1/10W 5% 0603 SMD,R1
20.0,114-32151-B6,RES 10K OHM 1/10W 5% 0603 SMD,R2
20.0,114-32151-B6,RES 10K OHM 1/10W 5% 0603 SMD,R3
20.0,114-32151-B6,RES 10K OHM 1/10W 5% 0603 SMD,R4
20.0,114-32151-B6,RES 10K OHM 1/10W 5% 0603 SMD,R5
20.0,114-32151-B6,RES 10K OHM 1/10W 5% 0603 SMD,R7
20.0,114-32151-B6,RES 10K OHM 1/10W 5% 0603 SMD,R8
20.0,114-32151-B6,RES 10K OHM 1/10W 5% 0603 SMD,R16
20.0,114-32151-B6,RES 10K OHM 1/10W 5% 0603 SMD,R17
20.0,114-32144-B4,RES 20.5K OHM 1/10W 1% 0603 SMD,R18
20.0,114-32143-B4,RES 196K OHM 1/10W 1% 0603 SMD,R13
20.0,114-32143-B4,RES 196K OHM 1/10W 1% 0603 SMD,R29
20.0,114-32142-B4,RES 46.4K OHM 1/10W 1% 0603,R9
20.0,114-32133-A6,RES 39K OHM 1/16W 5% 0402 SMD,R28
20.0,114-32132-A6,RES 56K OHM 1/16W 5% 0402,R20
20.0,114-32130-A6,RES SMD 820 OHM 5% 1/16W 0402,R14
20.0,114-32126-A4,RES 1.00M OHM 1/16W 1% 0402 SMD,R26
20.0,114-32116-24,RES 1.00K OHM 1/8W 1% SMD 0603,R10
20.0,114-32116-24,RES 1.00K OHM 1/8W 1% SMD 0603,R11
20.0,114-32115-16,RES 910K 1/5W 5% 50V 0603,R22
20.0,114-2003-C4X,RES 200K 1/16W 1% 50V 0402              ,R19
20.0,106-32112-00,CAP CER 4.7UF 100V 20% X7S 1210,C39
20.0,106-32112-00,CAP CER 4.7UF 100V 20% X7S 1210,C41
20.0,106-32111-00,CAP CER 100NF 100V 10% X7S 0603,C37
20.0,106-32111-00,CAP CER 100NF 100V 10% X7S 0603,C40
20.0,106-32110-00,CAP CER 0.022UF 25V 10% X7R 0402,C35
20.0,106-32110-00,CAP CER 0.022UF 25V 10% X7R 0402,C43
20.0,106-32109-00,CAP CER 0.47UF 16V Y5V 0402,C29
20.0,106-32108-00,CAP CER 15PF 50V 5% NP0 0603,C22
20.0,106-32107-00,CAP CER 2200PF 50V 10% X7R 0603,C21
20.0,106-32105-00,CAP CER 10000PF 16V 10% X7R 0402,C8
20.0,106-32105-00,CAP CER 10000PF 16V 10% X7R 0402,C9
20.0,106-32105-00,CAP CER 10000PF 16V 10% X7R 0402,C12
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C1
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C2
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C3
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C4
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C5
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C6
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C7
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C13
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C15
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C16
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C17
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C18
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C19
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C25
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C26
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C27
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C30
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C31
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C32
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C38
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C44
20.0,106-32104-00,CAP CER 0.1UF 10V 10% X5R 0402,C45
20.0,106-32103-00,CAP CER 3300PF 50V X7R 0402,C42
20.0,106-0769-02,CAP CER 4.7uF 25V 20% X5R 0603,C14
